year,crop,acres_harvested,ears_per_acre,plant_pop,production_dollars,bu_per_acre
1945,OATS,5323e3,NA,NA,NA,38.5
1945,RYE,11e3,NA,NA,NA,13
1945,SOYBEANS,191e4,NA,NA,NA,18.5
1945,WHEAT,14e4,NA,NA,NA,19
1946,BARLEY,13e3,NA,NA,NA,31.5
1946,CORN_GRAIN,106e5,NA,NA,NA,57
1946,FLAXSEED,34e3,NA,NA,NA,15
1946,HAY,3275e3,NA,NA,NA,NA
1946,OATS,5642e3,NA,NA,NA,37.5
1946,RYE,1e4,NA,NA,NA,17
1946,SOYBEANS,1548e3,NA,NA,NA,23
1946,WHEAT,185e3,NA,NA,NA,23.4
1947,BARLEY,34e3,NA,NA,NA,23.5
1947,CORN_GRAIN,9588e3,NA,NA,NA,31
1947,FLAXSEED,83e3,NA,NA,NA,13.5
1947,HAY,3338e3,NA,NA,NA,NA
1947,OATS,5247e3,NA,NA,NA,31
1947,RYE,15e3,NA,NA,NA,15
1947,SOYBEANS,1884e3,NA,NA,NA,15.5
1947,WHEAT,201e3,NA,NA,NA,17.9
1948,BARLEY,33e3,NA,NA,NA,32
1948,CORN_GRAIN,10732e3,NA,NA,850565e3,60.5
1948,FLAXSEED,104e3,NA,NA,NA,15.5
1948,HAY,2943e3,NA,NA,NA,NA
1948,OATS,6086e3,NA,NA,NA,45
1948,RYE,17e3,NA,NA,NA,15.5
1948,SOYBEANS,1564e3,NA,NA,79529e3,22.5
1948,WHEAT,317e3,NA,NA,NA,23.3
1949,BARLEY,31e3,NA,NA,811e3,25.9
1949,CORN_GRAIN,11101e3,NA,NA,662619e3,47
1949,FLAXSEED,11e4,NA,NA,NA,13.8
1949,HAY,31e5,NA,NA,89374e3,NA
1949,OATS,6269e3,NA,NA,154869e3,38.6
1949,RYE,18e3,NA,NA,NA,14
1949,SOYBEANS,134e4,NA,NA,69345e3,23
1949,WHEAT,384e3,NA,NA,13659e3,18.8
1950,BARLEY,53e3,NA,NA,2035e3,32
1950,CORN_GRAIN,9396e3,NA,NA,692673e3,48.5
1950,FLAXSEED,77e3,NA,NA,NA,15.5
1950,HAY,3737e3,NA,NA,108481e3,NA
1950,OATS,652e4,NA,NA,213758e3,41.5
1950,RYE,13e3,NA,NA,NA,16
1950,SOYBEANS,193e4,NA,NA,112094e3,22
1950,WHEAT,25e4,NA,NA,11076e3,21.8
1951,BARLEY,33e3,NA,NA,79e4,21
1951,CORN_GRAIN,968e4,NA,NA,677939e3,43.5
1951,FLAXSEED,6e4,NA,NA,NA,9.5
1951,HAY,3944e3,NA,NA,113643e3,NA
1951,OATS,5672e3,NA,NA,16341e4,33.5
1951,RYE,8e3,NA,NA,NA,14
1951,SOYBEANS,1583e3,NA,NA,88918e3,20.5
1951,WHEAT,145e3,NA,NA,3163e3,10.3
1952,BARLEY,15e3,NA,NA,531e3,30
1952,CORN_GRAIN,10449e3,NA,NA,979593e3,62.5
1952,FLAXSEED,34e3,NA,NA,NA,14
1952,HAY,3768e3,NA,NA,124704e3,NA
1952,OATS,6069e3,NA,NA,161435e3,35
1952,RYE,6e3,NA,NA,NA,15.5
1952,SOYBEANS,1526e3,NA,NA,104676e3,25.5
1952,WHEAT,155e3,NA,NA,7026e3,21.5
1953,BARLEY,7e3,NA,NA,18e4,23
1953,CORN_GRAIN,10811e3,NA,NA,859475e3,53
1953,FLAXSEED,25e3,NA,NA,NA,9.5
1953,HAY,391e4,NA,NA,125866e3,NA
1953,OATS,5766e3,NA,NA,110275e3,25.5
1953,RYE,5e3,NA,NA,NA,14.5
1953,SOYBEANS,1657e3,NA,NA,103672e3,21.5
1953,WHEAT,137e3,NA,NA,606e4,20.4
1954,BARLEY,23e3,NA,NA,7e5,29
1954,CORN_GRAIN,10014e3,NA,NA,791356e3,54.5
1954,FLAXSEED,27e3,NA,NA,NA,10.5
1954,HAY,3894e3,NA,NA,124944e3,NA
1954,OATS,604e4,NA,NA,156285e3,37.5
1954,RYE,9e3,NA,NA,NA,15.5
1954,SOYBEANS,2129e3,NA,NA,135967e3,26.5
1954,WHEAT,11e4,NA,NA,4563e3,19.4
1955,BARLEY,2e4,NA,NA,607e3,33
1955,CORN_GRAIN,10293e3,NA,NA,718862e3,48.5
1955,FLAXSEED,14e3,NA,NA,NA,15
1955,HAY,4006e3,NA,NA,112654e3,NA
1955,OATS,5798e3,NA,NA,149646e3,44.5
1955,RYE,13e3,NA,NA,NA,17
1955,SOYBEANS,2261e3,NA,NA,101293e3,20
1955,WHEAT,115e3,NA,NA,7802e3,33.2
1956,BARLEY,27e3,NA,NA,602e3,22.5
1956,CORN_GRAIN,9413e3,NA,NA,659711e3,53.5
1956,FLAXSEED,25e3,NA,NA,NA,8
1956,HAY,3654e3,NA,NA,115356e3,NA
1956,OATS,4986e3,NA,NA,111288e3,31
1956,RYE,13e3,NA,NA,NA,14
1956,SOYBEANS,25e5,NA,NA,1085e5,20
1956,WHEAT,131e3,NA,NA,5106e3,19.8
1957,BARLEY,32e3,NA,NA,922e3,32
1957,CORN_GRAIN,986e4,NA,NA,641886e3,62
1957,FLAXSEED,14e3,NA,NA,NA,14
1957,HAY,3627e3,NA,NA,121706e3,NA
1957,OATS,5185e3,NA,NA,128484e3,42
1957,RYE,21e3,NA,NA,NA,18
1957,SOYBEANS,2827e3,NA,NA,156474e3,27
1957,WHEAT,156e3,NA,NA,8452e3,27.6
1958,BARLEY,31e3,NA,NA,1072e3,38
1958,CORN_GRAIN,9782e3,NA,NA,697261e3,66
1958,FLAXSEED,14e3,NA,NA,NA,18.5
1958,HAY,3849e3,NA,NA,109714e3,NA
1958,OATS,4822e3,NA,NA,122865e3,45.5
1958,RYE,13e3,NA,NA,NA,20
1958,SOYBEANS,3116e3,NA,NA,160505e3,25.5
1958,WHEAT,167e3,NA,NA,9046e3,31.7
1959,BARLEY,29e3,NA,NA,837e3,37
1959,CORN_GRAIN,12139e3,NA,NA,796925e3,65
1959,FLAXSEED,12e3,NA,NA,NA,17.5
1959,HAY,3554e3,NA,NA,116587e3,NA
1959,OATS,4316e3,NA,NA,11828e4,43.5
1959,RYE,9e3,NA,NA,NA,18
1959,SOYBEANS,2369e3,NA,NA,119906e3,26.5
1959,WHEAT,165e3,NA,NA,5845e3,20.1
1960,BARLEY,29e3,NA,NA,696e3,32
1960,CORN_GRAIN,12166e3,NA,NA,749365e3,63.5
1960,FLAXSEED,16e3,NA,NA,NA,17
1960,HAY,3492e3,NA,NA,117537e3,NA
1960,OATS,41e5,NA,NA,10332e4,42
1960,RYE,7e3,NA,NA,NA,17
1960,SOYBEANS,2599e3,NA,NA,141164e3,25.5
1960,WHEAT,119e3,NA,NA,5184e3,24.7
1961,BARLEY,23e3,NA,NA,7e5,39
1961,CORN_GRAIN,9976e3,NA,NA,820975e3,75.5
1961,FLAXSEED,1e4,NA,NA,NA,18
1961,HAY,3331e3,NA,NA,130447e3,NA
1961,OATS,3239e3,NA,NA,92991e3,43.5
1961,RYE,7e3,NA,NA,NA,18.5
1961,SOYBEANS,3405e3,NA,NA,221256e3,28.5
1961,WHEAT,124e3,NA,NA,5845e3,26
1962,BARLEY,11e3,NA,NA,326e3,39
1962,CORN_GRAIN,9677e3,NA,NA,812191e3,77
1962,FLAXSEED,1e4,NA,NA,NA,17
1962,HAY,3502e3,NA,NA,136851e3,NA
1962,OATS,2947e3,NA,NA,83326e3,43.5
1962,RYE,5e3,NA,NA,NA,18.5
1962,SOYBEANS,3405e3,NA,NA,218177e3,27.5
1962,WHEAT,88e3,NA,NA,4282e3,24.8
1963,BARLEY,7e3,NA,NA,232e3,41
1963,CORN_GRAIN,10645e3,NA,13600,89418e4,80
1963,FLAXSEED,1e4,NA,NA,NA,15.5
1963,HAY,3318e3,NA,NA,139842e3,NA
1963,OATS,28e5,NA,NA,819e5,45
1963,RYE,6e3,NA,NA,NA,21
1963,SOYBEANS,3575e3,NA,NA,266053e3,30.5
1963,WHEAT,105e3,NA,NA,5412e3,27.9
1964,BARLEY,6e3,NA,NA,214e3,42
1964,CORN_GRAIN,9738e3,NA,14300,845258e3,77.5
1964,FLAXSEED,4e3,NA,NA,NA,18
1964,HAY,3233e3,NA,NA,143179e3,NA
1964,OATS,2324e3,NA,NA,73264e3,48.5
1964,RYE,6e3,NA,NA,NA,20.5
1964,SOYBEANS,4254e3,NA,NA,311584e3,28.5
1964,WHEAT,1e5,NA,NA,3842e3,27.8
1965,BARLEY,5e3,NA,NA,221e3,46
1965,CORN_GRAIN,9933e3,NA,15e3,920392e3,82
1965,FLAXSEED,1e4,NA,NA,NA,20
1965,HAY,3038e3,NA,NA,155456e3,NA
1965,OATS,1999e3,NA,NA,68216e3,52.5
1965,RYE,4e3,NA,NA,NA,21
1965,SOYBEANS,485e4,NA,NA,329121e3,26
1965,WHEAT,4e4,NA,NA,1134e3,21
1966,BARLEY,4e3,NA,NA,18e4,45
1966,CORN_GRAIN,10132e3,NA,15800,1055045e3,89
1966,FLAXSEED,3e3,NA,NA,NA,19
1966,HAY,298e4,NA,NA,15858e4,NA
1966,OATS,1979e3,NA,NA,73738e3,54
1966,RYE,4e3,NA,NA,NA,20
1966,SOYBEANS,4996e3,NA,NA,396458e3,29.5
1966,WHEAT,45e3,NA,NA,2614e3,33
1967,BARLEY,5e3,NA,NA,202e3,44
1967,CORN_GRAIN,11145e3,NA,16e3,996195e3,88.5
1967,FLAXSEED,2e3,NA,NA,NA,20
1967,HAY,2808e3,NA,NA,142253e3,NA
1967,OATS,186e4,NA,NA,68932e3,54.5
1967,RYE,5e3,NA,NA,NA,22
1967,SOYBEANS,5246e3,NA,NA,360663e3,27.5
1967,WHEAT,6e4,NA,NA,236e4,27.5
1968,BARLEY,6e3,NA,NA,25e4,49
1968,CORN_GRAIN,9775e3,NA,17200,97271e4,93
1968,FLAXSEED,2e3,NA,NA,NA,19
1968,HAY,256e4,NA,NA,14212e4,NA
1968,OATS,1804e3,NA,NA,67055e3,59
1968,RYE,4e3,NA,NA,NA,23
1968,SOYBEANS,5561e3,NA,NA,434203e3,32
1968,WHEAT,54e3,NA,NA,2391e3,36
1969,BARLEY,5e3,NA,NA,185e3,43
1969,CORN_GRAIN,9549e3,NA,17400,104934e4,99
1969,FLAXSEED,1e3,NA,NA,NA,19
1969,HAY,25e5,NA,NA,14426e4,NA
1969,OATS,184e4,NA,NA,55366e3,51
1969,RYE,5e3,NA,NA,NA,25
1969,SOYBEANS,545e4,NA,NA,418015e3,32.5
1969,WHEAT,44e3,NA,NA,1725e3,33.5
1970,BARLEY,4e3,NA,NA,143e3,41
1970,CORN_GRAIN,10077e3,NA,18e3,1083278e3,86
1970,FLAXSEED,1e3,NA,NA,NA,18
1970,HAY,246e4,NA,NA,13644e4,NA
1970,OATS,1711e3,NA,NA,60227e3,55
1970,RYE,5e3,NA,NA,NA,26
1970,SOYBEANS,568e4,NA,NA,520572e3,32.5
1970,WHEAT,4e4,NA,NA,175e4,35
1971,BARLEY,6e3,NA,NA,231e3,47
1971,CORN_GRAIN,1155e4,NA,18100,1225224e3,102
1971,FLAXSEED,1e3,NA,NA,NA,18
1971,HAY,235e4,NA,NA,136797e3,NA
1971,OATS,155e4,NA,NA,60357e3,59
1971,RYE,5e3,NA,NA,NA,27
1971,SOYBEANS,55e5,NA,NA,548763e3,32.5
1971,WHEAT,36e3,NA,NA,1857e3,38.5
1972,BARLEY,6e3,NA,NA,263e3,43
1972,CORN_GRAIN,106e5,NA,19200,202884e4,116
1972,HAY,23e5,NA,NA,153824e3,NA
1972,OATS,125e4,NA,NA,53438e3,57
1972,RYE,5e3,NA,NA,NA,28
1972,SOYBEANS,6e6,NA,NA,102384e4,36
1972,WHEAT,33e3,NA,NA,1882e3,37.5
1973,CORN_GRAIN,1128e4,NA,18900,3113957e3,107
1973,HAY,248e4,NA,NA,212918e3,NA
1973,OATS,13e5,NA,NA,76323e3,51.5
1973,RYE,4e3,NA,NA,NA,28
1973,SOYBEANS,765e4,NA,NA,1469565e3,34
1973,WHEAT,34e3,NA,NA,3275e3,32
1974,CORN_GRAIN,121e5,NA,18600,287496e4,80
1974,HAY,236e4,NA,NA,29376e4,NA
1974,OATS,1425e3,NA,NA,116779e3,55
1974,RYE,5e3,NA,NA,NA,26
1974,SOYBEANS,711e4,NA,NA,1266149e3,28
1974,WHEAT,62e3,NA,NA,7682e3,30
1975,CORN_GRAIN,1242e4,NA,18500,27945e5,90
1975,HAY,245e4,NA,NA,33663e4,NA
1975,OATS,1425e3,NA,NA,108756e3,53
1975,RYE,5e3,NA,NA,NA,26
1975,SOYBEANS,697e4,NA,NA,1206228e3,34
1975,WHEAT,1e5,NA,NA,11764e3,34
1976,CORN_GRAIN,129e5,NA,18800,2406495e3,91
1976,HAY,236e4,NA,NA,405894e3,NA
1976,OATS,14e5,NA,NA,128856e3,59
1976,RYE,5e3,NA,NA,NA,28
1976,SOYBEANS,645e4,NA,NA,1409648e3,31
1976,WHEAT,13e4,NA,NA,13377e3,35
1977,CORN_GRAIN,127e5,NA,18800,2173478e3,86
1977,HAY,234e4,NA,NA,348881e3,NA
1977,OATS,135e4,NA,NA,91409e3,61
1977,RYE,4e3,NA,NA,NA,29
1977,SOYBEANS,708e4,NA,NA,1487933e3,35.5
1977,WHEAT,109e3,NA,NA,851e4,37
1978,CORN_GRAIN,1285e4,NA,19800,3206718e3,115
1978,HAY,233e4,NA,NA,365457e3,NA
1978,OATS,105e4,NA,NA,72471e3,58
1978,RYE,5e3,NA,NA,NA,30
1978,SOYBEANS,755e4,NA,NA,187995e4,37.5
1978,WHEAT,45e3,NA,NA,3767e3,31
1979,CORN_GRAIN,131e5,NA,20300,4026154e3,127
1979,HAY,233e4,NA,NA,393615e3,NA
1979,OATS,1e6,NA,NA,8883e4,63
1979,RYE,5e3,NA,NA,NA,29
1979,SOYBEANS,817e4,NA,NA,1890334e3,37.5
1979,WHEAT,6e4,NA,NA,7326e3,37
1980,CORN_GRAIN,133e5,NA,20200,434511e4,110
1980,HAY,227e4,NA,NA,389795e3,NA
1980,OATS,1e6,NA,NA,10602e4,62
1980,RYE,5e3,NA,NA,NA,30
1980,SOYBEANS,827e4,NA,NA,2368859e3,38.5
1980,WHEAT,92e3,NA,NA,1346e4,38
1981,CORN_GRAIN,1385e4,NA,20800,4172313e3,125
1981,HAY,223e4,NA,NA,444096e3,NA
1981,OATS,96e4,NA,NA,111898e3,62
1981,RYE,5e3,NA,NA,NA,33
1981,SOYBEANS,805e4,NA,NA,191268e4,40
1981,WHEAT,125e3,NA,NA,18038e3,39
1982,CORN_GRAIN,1315e4,NA,21100,424482e4,120
1982,HAY,22e5,NA,NA,424255e3,NA
1982,OATS,95e4,NA,NA,86099e3,57
1982,RYE,4e3,NA,NA,NA,28
1982,SOYBEANS,84e5,NA,NA,179361e4,36.5
1982,WHEAT,1e5,NA,NA,99e5,30
1983,CORN_GRAIN,855e4,NA,21800,2320812e3,87
1983,HAY,21e5,NA,NA,42516e4,NA
1983,OATS,75e4,NA,NA,6885e4,51
1983,RYE,3e3,NA,NA,NA,31
1983,SOYBEANS,796e4,NA,NA,2167508e3,35
1983,WHEAT,5e4,NA,NA,646e4,38
1984,CORN_GRAIN,129e5,NA,21400,3626448e3,112
1984,HAY,215e4,NA,NA,482775e3,NA
1984,OATS,74e4,NA,NA,84301e3,64
1984,RYE,5e3,NA,NA,NA,34
1984,SOYBEANS,84e5,NA,NA,1500282e3,31.5
1984,WHEAT,1e5,NA,NA,11736e3,36
1985,CORN_GRAIN,1355e4,NA,21700,3448746e3,126
1985,HAY,215e4,NA,NA,331685e3,NA
1985,OATS,76e4,NA,NA,73355e3,76
1985,RYE,6e3,NA,NA,NA,36
1985,SOYBEANS,815e4,NA,NA,1545403e3,38
1985,WHEAT,112e3,NA,NA,15859e3,48
1986,CORN_GRAIN,1205e4,NA,21600,2293718e3,135
1986,HAY,24e5,NA,NA,324e6,NA
1986,OATS,63e4,NA,NA,457e5,62
1986,RYE,4e3,NA,NA,NA,36
1986,SOYBEANS,845e4,NA,NA,1658693e3,41.5
1986,WHEAT,6e4,NA,NA,3864e3,28
1987,CORN_GRAIN,1015e4,21600,21800,2493855e3,130
1987,HAY,2e6,NA,NA,288229e3,NA
1987,OATS,65e4,NA,NA,62244e3,57
1987,RYE,4e3,NA,NA,224e3,35
1987,SOYBEANS,79e5,NA,NA,2051591e3,43.5
1987,WHEAT,3e4,NA,NA,3135e3,38
1988,CORN_GRAIN,107e5,2e4,22100,220206e4,84
1988,HAY,32e5,NA,NA,507e6,NA
1988,OATS,5e5,NA,NA,7125e4,50
1988,RYE,5e3,NA,NA,354e3,30
1988,SOYBEANS,81e5,NA,NA,1840563e3,31
1988,WHEAT,35e3,NA,NA,468e4,35
1989,CORN_GRAIN,1225e4,21e3,21600,3310195e3,118
1989,HAY,24e5,NA,NA,53865e4,NA
1989,OATS,75e4,NA,NA,8154e4,72
1989,RYE,5e3,NA,NA,333e3,37
1989,SOYBEANS,828e4,NA,NA,181481e4,39
1989,WHEAT,7e4,NA,NA,12502e3,47
1990,CORN_GRAIN,124e5,22500,22400,3452904e3,126
1990,HAY,2e6,NA,NA,45639e4,NA
1990,OATS,6e5,NA,NA,46512e3,68
1990,SOYBEANS,79e5,NA,NA,1845796e3,41.5
1990,WHEAT,75e3,NA,NA,9248e3,45
1991,CORN_GRAIN,122e5,21600,22800,328302e4,117
1991,HAY,18e5,NA,NA,38697e4,NA
1991,OATS,425e3,NA,NA,26138e3,50
1991,SOYBEANS,863e4,NA,NA,1925828e3,40.5
1991,WHEAT,5e4,NA,NA,408e4,34
1992,CORN_GRAIN,1295e4,24e3,23300,38073e5,147
1992,HAY,195e4,NA,NA,514695e3,NA
1992,OATS,375e3,NA,NA,34673e3,67
1992,SOYBEANS,817e4,NA,NA,1991519e3,44
1992,WHEAT,4e4,NA,NA,4758e3,39
1993,CORN_GRAIN,11e6,22500,23500,21472e5,80
1993,HAY,205e4,NA,NA,429234e3,NA
1993,OATS,225e3,NA,NA,1305e4,40
1993,SOYBEANS,83e5,NA,NA,1631282e3,31
1993,WHEAT,25e3,NA,NA,125e4,25
1994,CORN_GRAIN,126e5,24e3,23950,4251744e3,152
1994,HAY,175e4,NA,NA,444225e3,NA
1994,OATS,43e4,NA,NA,34658e3,62
1994,SOYBEANS,877e4,NA,NA,2404866e3,50.5
1994,WHEAT,45e3,NA,NA,6662e3,47
1995,CORN_GRAIN,116e5,24e3,24650,456576e4,123
1995,HAY,17e5,NA,NA,457763e3,NA
1995,OATS,225e3,NA,NA,2574e4,65
1995,SOYBEANS,926e4,NA,NA,2709476e3,44
1995,WHEAT,35e3,NA,NA,4961e3,35
1996,CORN_GRAIN,124e5,24250,24950,444912e4,138
1996,HAY,165e4,NA,NA,538335e3,NA
1996,OATS,19e4,NA,NA,27907e3,68
1996,SOYBEANS,945e4,NA,NA,3060288e3,44
1996,WHEAT,4e4,NA,NA,574e4,35
1997,CORN_GRAIN,119e5,24550,25500,3826326e3,138
1997,HAY,165e4,NA,NA,54366e4,NA
1997,OATS,23e4,NA,NA,27368e3,73
1997,SOYBEANS,104e5,NA,NA,3028272e3,46
1997,WHEAT,25e3,NA,NA,3318e3,42
1998,CORN_GRAIN,122e5,24400,25650,329034e4,145
1998,HAY,157e4,NA,NA,432836e3,NA
1998,OATS,185e3,NA,NA,13535e3,59
1998,SOYBEANS,1035e4,NA,NA,2379672e3,48
1998,WHEAT,32e3,NA,NA,3872e3,44
1999,CORN_GRAIN,118e5,25300,25900,3024104e3,149
1999,HAY,17e5,NA,NA,432285e3,NA
1999,OATS,175e3,NA,NA,1274e4,65
1999,SOYBEANS,1075e4,NA,NA,2167039e3,44.5
1999,WHEAT,31e3,NA,NA,3173e3,43
2000,CORN_GRAIN,12e6,25650,26300,3024e6,144
2000,HAY,173e4,NA,NA,48677e4,NA
2000,OATS,18e4,NA,NA,14351e3,67
2000,SOYBEANS,1068e4,NA,NA,2085964e3,43.5
2000,WHEAT,18e3,NA,NA,1819e3,47
2001,CORN_GRAIN,114e5,25250,26450,316236e4,146
2001,HAY,165e4,NA,NA,480095e3,NA
2001,OATS,13e4,NA,NA,14014e3,70
2001,SOYBEANS,1092e4,NA,NA,2090088e3,44
2001,WHEAT,18e3,NA,NA,243e4,54
2002,CORN_GRAIN,1185e4,25800,26700,4288041e3,163
2002,HAY,16e5,NA,NA,45942e4,NA
2002,OATS,175e3,NA,NA,23674e3,76
2002,SOYBEANS,104e5,NA,NA,2765568e3,48
2002,WHEAT,16e3,NA,NA,2417e3,53
2003,CORN_GRAIN,119e5,26600,27250,4427871e3,157
2003,HAY,16e5,NA,NA,438865e3,NA
2003,OATS,13e4,NA,NA,16617e3,83
2003,SOYBEANS,1055e4,NA,NA,2640138e3,32.5
2003,WHEAT,21e3,NA,NA,3651e3,61
2004,CORN_GRAIN,124e5,27500,27850,4466356e3,181
2004,HAY,16e5,NA,NA,51324e4,NA
2004,OATS,14e4,NA,NA,15019e3,72
2004,SOYBEANS,1015e4,NA,NA,2864736e3,49
2004,WHEAT,24e3,NA,NA,4026e3,55
2005,CORN_GRAIN,125e5,27100,28e3,419525e4,173
2005,HAY,16e5,NA,NA,456285e3,NA
2005,OATS,125e3,NA,NA,16689e3,79
2005,SOYBEANS,1e7,NA,NA,29085e5,52.5
2005,WHEAT,15e3,NA,NA,2325e3,50
2006,CORN_GRAIN,1235e4,27350,28600,6211803e3,166
2006,HAY,147e4,NA,NA,44044e4,NA
2006,OATS,11e4,NA,NA,16218e3,76
2006,SOYBEANS,101e5,NA,NA,3356129e3,50.5
2006,WHEAT,18e3,NA,NA,398e4,66
2007,CORN_GRAIN,139e5,28400,29100,10196901e3,171
2007,HAY,138e4,NA,NA,54744e4,NA
2007,OATS,67e3,NA,NA,13034e3,71
2007,SOYBEANS,863e4,NA,NA,471198e4,52
2007,WHEAT,28e3,NA,NA,7056e3,48
2008,CORN_GRAIN,128e5,28600,29250,897408e4,171
2008,HAY,155e4,NA,NA,67827e4,NA
2008,OATS,75e3,NA,NA,15941e3,65
2008,SOYBEANS,967e4,NA,NA,4586481e3,46.5
2008,WHEAT,3e4,NA,NA,8496e3,48
2009,CORN_GRAIN,133e5,29200,29400,8642207e3,181
2009,HAY,122e4,NA,NA,442704e3,NA
2009,OATS,95e3,NA,NA,12412e3,65
2009,SOYBEANS,953e4,NA,NA,4627006e3,51
2009,WHEAT,22e3,NA,NA,3911e3,45
2010,CORN_GRAIN,1305e4,29300,29950,11261498e3,165
2010,HAY,12e5,NA,NA,407744e3,NA
2010,OATS,75e3,NA,NA,113e5,62
2010,SOYBEANS,973e4,NA,NA,5557776e3,51
2010,WHEAT,1e4,NA,NA,2484e3,46
2011,CORN_GRAIN,137e5,30050,30750,1460968e4,172
2011,HAY,114e4,NA,NA,45772e4,NA
2011,OATS,5e4,NA,NA,10656e3,64
2011,SOYBEANS,923e4,NA,NA,5989347e3,51.5
2011,WHEAT,16e3,NA,NA,4615e3,45
2012,CORN_GRAIN,137e5,28150,30100,12988148e3,137
2012,HAY,112e4,NA,NA,564783e3,NA
2012,OATS,58e3,NA,NA,15231e3,65
2012,SOYBEANS,931e4,NA,NA,603288e4,45
2012,WHEAT,13e3,NA,NA,455e4,50
2013,CORN_GRAIN,1305e4,29550,30050,9609498e3,164
2013,HAY,117e4,NA,NA,599445e3,NA
2013,OATS,6e4,NA,NA,15563e3,66
2013,SOYBEANS,925e4,NA,NA,5513463e3,45.5
2013,WHEAT,21e3,NA,NA,6934e3,52
2014,CORN_GRAIN,133e5,30150,30800,8783054e3,178
2014,HAY,1155e3,NA,NA,489333e3,NA
2014,OATS,55e3,NA,NA,12672e3,64
2014,SOYBEANS,977e4,NA,NA,4962769e3,51
2014,WHEAT,15e3,NA,NA,427e4,49
2015,CORN_GRAIN,1305e4,NA,31450,87696e5,192
2015,HAY,116e4,NA,NA,441597e3,NA
2015,OATS,57e3,NA,NA,11027e3,73
2015,SOYBEANS,98e5,NA,NA,4789505e3,56.5
2015,WHEAT,15e3,NA,NA,2886e3,52
